cluster	gene
Ductal cell MALAT1	SRRM2
Ductal cell MALAT1	NABP1
Ductal cell MALAT1	BTG1
Ductal cell MALAT1	GADD45B
Ductal cell MALAT1	PNRC1
Ductal cell MALAT1	IFRD1
Ductal cell MALAT1	KMT2E-AS1
Ductal cell MALAT1	DDX5
Ductal cell MALAT1	IER2
Ductal cell MALAT1	CLK1
Ductal cell MALAT1	ANKRD11
Ductal cell MALAT1	DDX3X
Ductal cell MALAT1	NFKBIZ
Ductal cell MALAT1	HNRNPA2B1
Ductal cell MALAT1	SRSF7
Ductal cell MALAT1	HNRNPU
Ductal cell MALAT1	JUN
Ductal cell MALAT1	WSB1
Ductal cell MALAT1	JUNB
Ductal cell MALAT1	DDX3Y
Ductal cell MALAT1	AKAP9
Ductal cell MALAT1	GOLGB1
Ductal cell MALAT1	NUFIP2
Ductal cell MALAT1	VMP1
Ductal cell MALAT1	THUMPD3-AS1
Ductal cell MALAT1	C11orf96
Ductal cell MALAT1	RBM39
Ductal cell MALAT1	BTG2
Ductal cell MALAT1	SLC25A37
Ductal cell MALAT1	RNF213
Ductal cell MALAT1	BRD2
Ductal cell MALAT1	PNN
Ductal cell MALAT1	FOSB
Ductal cell MALAT1	HIST1H2BN
Ductal cell MALAT1	JMJD1C
Ductal cell MALAT1	MUC20-OT1
Ductal cell MALAT1	HES1
Ductal cell MALAT1	KMT2C
Ductal cell MALAT1	BPTF
Ductal cell MALAT1	CTRC
Ductal cell MALAT1	PNISR
Ductal cell MALAT1	CHD2
Ductal cell MALAT1	C6orf62
Ductal cell MALAT1	PCLO
Ductal cell MALAT1	OGT
Ductal cell MALAT1	GLS
Ductal cell MALAT1	SFPQ
Ductal cell MALAT1	REG1B
Ductal cell MALAT1	TRA2B
Ductal cell MALAT1	GPBP1
Ductal cell MALAT1	CEBPB
Ductal cell MALAT1	DST
Ductal cell MALAT1	ASH1L
Ductal cell MALAT1	IER5L
Ductal cell MALAT1	CTRB1
Ductal cell MALAT1	VEGFA
Ductal cell MALAT1	MT-ND4L
Ductal cell MALAT1	PLA2G1B
Ductal cell MALAT1	DNAJB4
Ductal cell MALAT1	SNRNP70
Ductal cell MALAT1	CREBZF
Ductal cell MALAT1	GADD45G
Ductal cell MALAT1	HSPH1
Ductal cell MALAT1	ZKSCAN1
Ductal cell MALAT1	PCF11
Ductal cell MALAT1	SRSF11
Ductal cell MALAT1	RBM25
Ductal cell MALAT1	KMT2A
Ductal cell MALAT1	DDIT3
Ductal cell MALAT1	RNMT
Ductal cell MALAT1	CPB1
Ductal cell MALAT1	SYNE2
Ductal cell MALAT1	REG3A
Ductal cell MALAT1	CPA1
Ductal cell MALAT1	PLK2
Ductal cell MALAT1	SON
Ductal cell MALAT1	SAT1
Ductal cell MALAT1	JOSD1
Ductal cell MALAT1	TAF1D
Ductal cell MALAT1	AC020916.1
Ductal cell MALAT1	YME1L1
Ductal cell MALAT1	CLPS
Ductal cell MALAT1	ZNF207
Ductal cell MALAT1	AL121944.1
Ductal cell MALAT1	IGHG4
Ductal cell MALAT1	HSPA1B
Ductal cell MALAT1	CHORDC1
Ductal cell MALAT1	SYTL2
Ductal cell MALAT1	DOPEY2
Ductal cell MALAT1	CPEB4
Ductal cell MALAT1	ZNF292
Ductal cell MALAT1	TCIM
Ductal cell MALAT1	IGKC
Ductal cell MALAT1	PRSS1
Ductal cell MALAT1	REG1A
Ductal cell MALAT1	CYP3A5
Ductal cell MALAT1	EIF4A2
Ductal cell MALAT1	IGLC2
Ductal cell MALAT1	CTRB2
Ductal cell MALAT1	CELA3A
Ductal cell MALAT1	TAF7
Ductal cell MALAT1	DDX17
Ductal cell MKI67	HMGB2
Ductal cell MKI67	STMN1
Ductal cell MKI67	TUBA1B
Ductal cell MKI67	CENPF
Ductal cell MKI67	H2AFZ
Ductal cell MKI67	HMGN2
Ductal cell MKI67	MKI67
Ductal cell MKI67	PTTG1
Ductal cell MKI67	TOP2A
Ductal cell MKI67	UBE2C
Ductal cell MKI67	TUBB
Ductal cell MKI67	NUSAP1
Ductal cell MKI67	HMGB1
Ductal cell MKI67	PCLAF
Ductal cell MKI67	ASPM
Ductal cell MKI67	BIRC5
Ductal cell MKI67	NUCKS1
Ductal cell MKI67	CCNB1
Ductal cell MKI67	TPX2
Ductal cell MKI67	CKS2
Ductal cell MKI67	CDKN3
Ductal cell MKI67	TK1
Ductal cell MKI67	SMC4
Ductal cell MKI67	TYMS
Ductal cell MKI67	HMMR
Ductal cell MKI67	DTYMK
Ductal cell MKI67	H2AFV
Ductal cell MKI67	CCNB2
Ductal cell MKI67	RRM2
Ductal cell MKI67	CKS1B
Ductal cell MKI67	CDK1
Ductal cell MKI67	TMPO
Ductal cell MKI67	MAD2L1
Ductal cell MKI67	CDC20
Ductal cell MKI67	ANP32E
Ductal cell MKI67	KIF20B
Ductal cell MKI67	DLGAP5
Ductal cell MKI67	GTSE1
Ductal cell MKI67	ZWINT
Ductal cell MKI67	CEP55
Ductal cell MKI67	UBE2T
Ductal cell MKI67	ANLN
Ductal cell MKI67	NUDT1
Ductal cell MKI67	NUF2
Ductal cell MKI67	CENPW
Ductal cell MKI67	PRC1
Ductal cell MKI67	ATAD2
Ductal cell MKI67	CENPE
Ductal cell MKI67	LMNB1
Ductal cell MKI67	CCNA2
Ductal cell MKI67	KNL1
Ductal cell MKI67	SMC2
Ductal cell MKI67	ARHGAP11A
Ductal cell MKI67	AURKA
Ductal cell MKI67	CKAP2
Ductal cell MKI67	MIS18BP1
Ductal cell MKI67	NDC80
Ductal cell MKI67	CENPA
Ductal cell MKI67	CDCA8
Ductal cell MKI67	HIST1H1B
Ductal cell MKI67	CENPK
Ductal cell MKI67	KIF11
Ductal cell MKI67	KIF4A
Ductal cell MKI67	KIF23
Ductal cell MKI67	PLK1
Ductal cell MKI67	BUB1
Ductal cell MKI67	NCAPD2
Ductal cell MKI67	FOXM1
Ductal cell MKI67	NEK2
Ductal cell MKI67	NCAPG
Ductal cell MKI67	DIAPH3
Ductal cell MKI67	KIF14
Ductal cell MKI67	PRR11
Ductal cell MKI67	RAD51AP1
Ductal cell MKI67	KIF2C
Ductal cell MKI67	KIF22
Ductal cell MKI67	CDT1
Ductal cell MKI67	SPC25
Ductal cell MKI67	TACC3
Ductal cell MKI67	FANCI
Ductal cell MKI67	KIFC1
Ductal cell MKI67	AURKB
Ductal cell MKI67	CENPN
Ductal cell MKI67	CDCA3
Ductal cell MKI67	BRCA1
Ductal cell MKI67	MYBL2
Ductal cell MKI67	TROAP
Ductal cell MKI67	ASF1B
Ductal cell MKI67	DEPDC1
Ductal cell MKI67	PBK
Ductal cell MKI67	CLSPN
Ductal cell MKI67	ORC6
Ductal cell MKI67	HJURP
